epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11435.5,1.03073,10.0264,0.56861,1.42762,1.10958,0.00038,0.01068,0.00021,6e-05,0.00018,0.00855,0.0001,1e-05,2.87504,11.6577,0.61311,5.31039,2.57397,0.0001684,0.0001684,0.0001684
86,11564.5,1.02162,10.2502,0.56749,1.4061,1.1281,0.00028,0.00641,0.00015,5e-05,0.00039,0.01709,0.00022,4e-05,2.86376,11.6485,0.61152,5.42408,2.55328,0.0001585,0.0001585,0.0001585
87,11692.6,1.00154,10.3266,0.59636,1.40008,1.12262,0.00026,0.00641,0.00015,5e-05,0.00027,0.01282,0.00014,3e-05,2.8622,11.6375,0.61276,5.28406,2.55719,0.0001486,0.0001486,0.0001486
88,11820.7,0.97702,10.2346,0.55728,1.36426,1.07279,0.00025,0.00641,0.00013,5e-05,0.00024,0.01282,0.00013,2e-05,2.83843,11.635,0.61342,5.31087,2.52086,0.0001387,0.0001387,0.0001387
89,11951,0.92071,10.5444,0.5711,1.29082,1.06736,0.00072,0.01923,0.0004,0.0001,0,0,0,0,2.83836,11.6504,0.62097,5.37213,2.49955,0.0001288,0.0001288,0.0001288
90,12080,0.96474,10.0626,0.56092,1.39426,1.07304,0.00059,0.01603,0.00033,8e-05,0.00022,0.00855,0.00012,2e-05,2.87785,11.6485,0.61688,5.42053,2.51592,0.0001189,0.0001189,0.0001189
91,12208.9,0.94805,11.006,0.49689,1.6451,1.11074,0.00077,0.02671,0.00045,7e-05,0.00031,0.01709,0.00018,5e-05,2.86536,11.6416,0.5983,5.48266,2.56557,0.000109,0.000109,0.000109
92,12339.2,0.94089,11.0446,0.49417,1.43823,1.06623,0.00066,0.02671,0.00038,9e-05,0.00032,0.02137,0.00019,5e-05,2.81542,11.6581,0.58765,5.49733,2.58544,9.91e-05,9.91e-05,9.91e-05
93,12466.1,0.94354,10.9799,0.50322,1.37518,1.08328,0.00069,0.03205,0.00039,9e-05,0.00023,0.01709,0.00012,3e-05,2.80583,11.6754,0.58558,5.44987,2.64709,8.92e-05,8.92e-05,8.92e-05
94,12593.2,0.93503,11.0362,0.48723,1.46425,1.07694,0.00038,0.01816,0.00021,6e-05,0.00016,0.01282,9e-05,3e-05,2.76381,11.6846,0.57261,5.40683,2.63723,7.93e-05,7.93e-05,7.93e-05
95,12721.4,1.04127,11.1608,0.46306,1.38975,1.1107,0.0003,0.0203,0.00018,4e-05,0.00015,0.01282,9e-05,2e-05,2.73941,11.6883,0.55742,5.41058,2.61779,6.94e-05,6.94e-05,6.94e-05
96,12848,0.98896,10.9175,0.52672,1.34405,1.1016,0.00039,0.02885,0.00023,6e-05,0.00015,0.01282,8e-05,2e-05,2.75308,11.6872,0.55251,5.44178,2.63457,5.95e-05,5.95e-05,5.95e-05
97,12976.1,0.85367,11.0298,0.51913,1.23243,1.09862,0.00044,0.03312,0.00026,7e-05,0.00026,0.02137,0.00014,3e-05,2.76752,11.6892,0.55083,5.48661,2.65827,4.96e-05,4.96e-05,4.96e-05
98,13103.1,0.84699,10.9178,0.48684,1.20947,1.04123,0.00044,0.03312,0.00027,7e-05,0.00016,0.01282,8e-05,1e-05,2.77783,11.684,0.55209,5.53182,2.67154,3.97e-05,3.97e-05,3.97e-05
99,13231.1,0.86278,10.9714,0.46547,1.25066,1.0476,0.00046,0.03312,0.00028,7e-05,0.00011,0.00855,6e-05,1e-05,2.78852,11.6877,0.55379,5.5955,2.64836,2.98e-05,2.98e-05,2.98e-05
100,13359.3,0.91389,11.0253,0.47433,1.26475,1.0705,0.00047,0.03312,0.00028,7e-05,0.00011,0.00855,6e-05,1e-05,2.79989,11.6898,0.55427,5.62414,2.6567,1.99e-05,1.99e-05,1.99e-05
